facility_id,facility_name,city,zip,inspection_date,n_violations,n_critical,n_categories,has_temperature,has_handwashing,has_pests,has_sourcing,has_permit,prior_visits,prior_viol_sum,prior_crit_sum,prior_viol_avg,days_since_last,month,dow,is_summer,tmax,tmin,tavg,prcp,target_critical
FA0001905,SAYVILLE HIGH SCHOOL,WEST SAYVILLE,11796.0,2025-04-24 13:41:00,1,1,1,1,0,0,0,0,3,17,12,5.666666666666667,30.0,4,3,0,,,,,0
FA0001906,SAYVILLE MIDDLE SCHOOL,SAYVILLE,11782.0,2024-05-22 14:12:00,5,3,4,1,1,0,0,1,0,0,0,0.0,-1.0,5,2,0,76.0,60.0,68.0,0.0,0
FA0001906,SAYVILLE MIDDLE SCHOOL,SAYVILLE,11782.0,2025-02-13 18:45:00,3,2,1,0,1,0,0,0,1,5,3,5.0,267.0,2,3,0,,,,,0
FA0001907,CHERRY AVENUE ELEMENTARY SCHOOL,WEST SAYVILLE,11796.0,2024-05-22 14:50:00,2,1,2,0,1,0,0,0,0,0,0,0.0,-1.0,5,2,0,76.0,60.0,68.0,0.0,0
FA0001907,CHERRY AVENUE ELEMENTARY SCHOOL,WEST SAYVILLE,11796.0,2025-03-18 12:52:00,3,2,2,1,1,0,0,0,1,2,1,2.0,299.0,3,1,0,,,,,0
FA0001908,LINCOLN AVENUE ELEMENTARY SCHOOL,SAYVILLE,11782.0,2024-05-22 15:15:00,5,2,3,1,1,0,0,0,0,0,0,0.0,-1.0,5,2,0,76.0,60.0,68.0,0.0,0
FA0001908,LINCOLN AVENUE ELEMENTARY SCHOOL,SAYVILLE,11782.0,2025-03-25 13:00:00,4,3,3,1,1,0,0,1,1,5,2,5.0,306.0,3,1,0,,,,,0
FA0001909,SUNRISE DRIVE ELEMENTARY SCHOOL,SAYVILLE,11782.0,2024-05-22 16:46:00,4,0,3,0,0,0,0,0,0,0,0,0.0,-1.0,5,2,0,76.0,60.0,68.0,0.0,0
FA0001909,SUNRISE DRIVE ELEMENTARY SCHOOL,SAYVILLE,11782.0,2025-03-25 12:50:00,1,0,1,0,1,0,0,0,1,4,0,4.0,306.0,3,1,0,,,,,0
FA0001910,SHELTER ISLAND U.F.S.D.,SHELTER ISLAND,11964.0,2024-04-10 16:08:00,6,3,3,1,1,0,0,0,0,0,0,0.0,-1.0,4,2,0,61.0,47.0,54.0,0.0,0
FA0001910,SHELTER ISLAND U.F.S.D.,SHELTER ISLAND,11964.0,2025-02-05 17:30:00,4,4,2,1,0,0,0,1,1,6,3,6.0,301.0,2,2,0,,,,,0
FA0001911,SMITHTOWN CENTRAL HS EAST,SAINT JAMES,11780.0,2024-09-19 14:01:00,6,4,3,1,1,0,0,1,0,0,0,0.0,-1.0,9,3,0,84.0,67.0,75.5,0.0,0
FA0001911,SMITHTOWN CENTRAL HS EAST,SAINT JAMES,11780.0,2025-09-16 13:03:00,6,5,3,1,1,0,0,1,1,6,4,6.0,361.0,9,1,0,,,,,0
FA0001912,SMITHTOWN CENTRAL HS WEST,SMITHTOWN,11787.0,2024-09-09 14:02:00,4,2,2,0,1,0,0,0,0,0,0,0.0,-1.0,9,0,0,76.0,49.0,62.5,0.0,0
FA0001912,SMITHTOWN CENTRAL HS WEST,SMITHTOWN,11787.0,2025-09-09 13:47:00,3,2,3,1,1,0,0,0,1,4,2,4.0,364.0,9,1,0,,,,,0
FA0001913,ACCOMPSETT MIDDLE SCHOOL,SMITHTOWN,11787.0,2024-10-11 13:38:00,6,5,4,1,0,0,0,1,0,0,0,0.0,-1.0,10,4,0,69.0,40.0,54.5,0.0,0
FA0001913,ACCOMPSETT MIDDLE SCHOOL,SMITHTOWN,11787.0,2025-09-16 13:20:00,2,2,2,1,1,0,0,0,1,6,5,6.0,339.0,9,1,0,,,,,0
FA0001914,NESAQUAKE MIDDLE SCHOOL,SAINT JAMES,11780.0,2024-03-05 14:35:00,3,3,2,0,1,0,0,1,0,0,0,0.0,-1.0,3,1,0,49.0,42.0,45.5,0.26,0
FA0001914,NESAQUAKE MIDDLE SCHOOL,SAINT JAMES,11780.0,2025-03-11 13:49:00,4,4,2,0,1,0,0,1,1,3,3,3.0,370.0,3,1,0,,,,,0
FA0001915,GREAT HOLLOW MIDDLE SCHOOL,NESCONSET,11767.0,2024-01-31 16:07:00,4,4,4,1,1,0,0,1,0,0,0,0.0,-1.0,1,2,0,38.0,32.0,35.0,0.0,0
FA0001915,GREAT HOLLOW MIDDLE SCHOOL,NESCONSET,11767.0,2025-02-25 15:48:00,7,3,5,1,0,0,0,1,1,4,4,4.0,390.0,2,1,0,,,,,0
FA0001916,ACCOMPSETT ELEMENTARY SCHOOL,SMITHTOWN,11787.0,2024-05-21 14:06:00,2,1,2,0,1,0,0,1,0,0,0,0.0,-1.0,5,1,0,67.0,52.0,59.5,0.0,0
FA0001916,ACCOMPSETT ELEMENTARY SCHOOL,SMITHTOWN,11787.0,2025-09-09 04:00:00,2,2,2,1,0,0,0,1,1,2,1,2.0,475.0,9,1,0,,,,,0
FA0001918,DOGWOOD ELEMENTARY SCHOOL,SMITHTOWN,11787.0,2024-03-15 14:47:00,4,3,4,1,1,0,0,1,0,0,0,0.0,-1.0,3,4,0,72.0,45.0,58.5,0.0,0
FA0001918,DOGWOOD ELEMENTARY SCHOOL,SMITHTOWN,11787.0,2025-01-24 17:45:00,3,3,3,0,1,0,0,1,1,4,3,4.0,315.0,1,4,0,,,,,0
FA0001919,MT. PLEASANT ELEMENTARY SCHOOL,SMITHTOWN,11787.0,2024-09-23 14:50:00,4,4,2,1,1,0,0,0,0,0,0,0.0,-1.0,9,0,0,69.0,53.0,61.0,0.0,0
FA0001919,MT. PLEASANT ELEMENTARY SCHOOL,SMITHTOWN,11787.0,2025-09-09 13:59:00,2,1,2,0,1,0,0,0,1,4,4,4.0,350.0,9,1,0,,,,,0
FA0001920,ST. JAMES ELEMENTARY SCHOOL,SAINT JAMES,11780.0,2024-03-15 13:28:00,2,2,1,1,0,0,0,0,0,0,0,0.0,-1.0,3,4,0,72.0,45.0,58.5,0.0,0
FA0001920,ST. JAMES ELEMENTARY SCHOOL,SAINT JAMES,11780.0,2025-03-10 15:06:00,3,1,2,0,0,0,0,1,1,2,2,2.0,360.0,3,0,0,,,,,0
FA0001921,SMITHTOWN ELEMENTARY SCHOOL,SMITHTOWN,11787.0,2024-03-18 14:57:00,2,2,1,1,0,0,0,0,0,0,0,0.0,-1.0,3,0,0,51.0,38.0,44.5,0.0,0
FA0001921,SMITHTOWN ELEMENTARY SCHOOL,SMITHTOWN,11787.0,2025-01-31 15:24:00,4,2,3,1,0,0,0,0,1,2,2,2.0,319.0,1,4,0,,,,,0
FA0001922,TACKAN ELEMENTARY SCHOOL,NESCONSET,11767.0,2024-03-06 13:50:00,3,2,3,1,1,0,0,0,0,0,0,0.0,-1.0,3,2,0,53.0,46.0,49.5,1.6,0
FA0001922,TACKAN ELEMENTARY SCHOOL,NESCONSET,11767.0,2025-03-05 16:50:00,1,0,1,0,0,0,0,0,1,3,2,3.0,364.0,3,2,0,,,,,0
FA0001923,SOUTHAMPTON HIGH SCHOOL,SOUTHAMPTON,11968.0,2024-09-17 14:27:00,5,3,3,1,0,0,0,1,0,0,0,0.0,-1.0,9,1,0,79.0,60.0,69.5,0.0,0
FA0001923,SOUTHAMPTON HIGH SCHOOL,SOUTHAMPTON,11968.0,2025-03-06 15:59:00,7,4,3,1,0,0,0,0,1,5,3,5.0,170.0,3,3,0,,,,,0
FA0001924,SOUTHAMPTON INTERMEDIATE SCHOOL,SOUTHAMPTON,11968.0,2024-09-10 15:02:00,7,3,3,1,0,0,0,1,0,0,0,0.0,-1.0,9,1,0,79.0,56.0,67.5,0.0,0
FA0001924,SOUTHAMPTON INTERMEDIATE SCHOOL,SOUTHAMPTON,11968.0,2025-02-25 15:00:00,6,4,3,1,0,0,0,1,1,7,3,7.0,167.0,2,1,0,,,,,0
FA0001925,SOUTHAMPTON ELEMENTARY SCHOOL,SOUTHAMPTON,11968.0,2024-06-13 15:17:00,8,5,4,1,1,0,0,1,0,0,0,0.0,-1.0,6,3,1,80.0,58.0,69.0,0.0,0
FA0001925,SOUTHAMPTON ELEMENTARY SCHOOL,SOUTHAMPTON,11968.0,2025-02-11 14:51:00,2,2,2,1,0,0,0,0,1,8,5,8.0,242.0,2,1,0,,,,,0
FA0001926,BELLPORT HIGH SCHOOL,BROOKHAVEN,11719.0,2024-09-20 15:22:00,7,5,4,1,1,0,0,1,0,0,0,0.0,-1.0,9,4,0,77.0,66.0,71.5,0.0,0
FA0001926,BELLPORT HIGH SCHOOL,BROOKHAVEN,11719.0,2025-10-07 15:21:00,6,4,5,1,1,0,0,1,1,7,5,7.0,381.0,10,1,0,,,,,0
FA0001927,BELLPORT MIDDLE SCHOOL,BELLPORT,11713.0,2024-09-19 15:07:00,5,2,3,0,1,0,0,1,0,0,0,0.0,-1.0,9,3,0,84.0,67.0,75.5,0.0,0
FA0001927,BELLPORT MIDDLE SCHOOL,BELLPORT,11713.0,2025-09-26 14:44:00,6,4,3,0,1,0,0,1,1,5,2,5.0,371.0,9,4,0,,,,,0
FA0001928,BROOKHAVEN ELEMENTARY,BROOKHAVEN,11719.0,2024-03-08 16:22:00,6,5,3,0,1,0,0,1,0,0,0,0.0,-1.0,3,4,0,54.0,37.0,45.5,0.0,0
FA0001928,BROOKHAVEN ELEMENTARY,BROOKHAVEN,11719.0,2025-03-17 14:58:00,6,3,5,1,1,0,0,1,1,6,5,6.0,373.0,3,0,0,,,,,0
FA0001929,KREAMER STREET ELEMENTARY,BELLPORT,11713.0,2025-03-11 16:15:00,5,3,3,1,0,0,0,0,0,0,0,0.0,-1.0,3,1,0,,,,,0
FA0001930,VERN W. CRITZ ELEMENTARY,EAST PATCHOGUE,11772.0,2024-03-08 15:23:00,4,1,3,1,1,0,0,0,0,0,0,0.0,-1.0,3,4,0,54.0,37.0,45.5,0.0,0
FA0001930,VERN W. CRITZ ELEMENTARY,EAST PATCHOGUE,11772.0,2025-01-28 15:38:00,3,0,2,0,1,0,0,0,1,4,1,4.0,326.0,1,1,0,,,,,0
FA0001931,FRANK P. LONG INTERMEDIATE,BELLPORT,11713.0,2024-09-27 14:57:00,4,2,3,0,1,0,0,1,0,0,0,0.0,-1.0,9,4,0,74.0,64.0,69.0,0.0,0
FA0001931,FRANK P. LONG INTERMEDIATE,BELLPORT,11713.0,2025-09-30 15:03:00,6,5,4,1,1,0,0,1,1,4,2,4.0,368.0,9,1,0,,,,,0
FA0001933,WALT WHITMAN HIGH SCHOOL,HUNTINGTON STATION,11746.0,2024-02-01 15:52:00,4,4,3,1,1,0,0,0,0,0,0,0.0,-1.0,2,3,0,45.0,32.0,38.5,0.0,0
FA0001933,WALT WHITMAN HIGH SCHOOL,HUNTINGTON STATION,11746.0,2025-03-03 16:45:00,6,4,4,1,1,0,0,1,1,4,4,4.0,396.0,3,0,0,,,,,0
FA0001934,MEMORIAL SCHOOL BUILDING,HUNTINGTON STATION,11746.0,2024-02-29 15:38:00,3,2,2,0,0,0,0,1,0,0,0,0.0,-1.0,2,3,0,44.0,30.0,37.0,0.02,0
FA0001934,MEMORIAL SCHOOL BUILDING,HUNTINGTON STATION,11746.0,2025-03-05 18:33:00,1,1,1,0,0,0,0,1,1,3,2,3.0,370.0,3,2,0,,,,,0
FA0001935,STIMSON MIDDLE SCHOOL,HUNTINGTON STATION,11746.0,2024-01-25 20:12:00,3,1,2,0,1,0,0,1,0,0,0,0.0,-1.0,1,3,0,57.0,45.0,51.0,0.24,0
FA0001935,STIMSON MIDDLE SCHOOL,HUNTINGTON STATION,11746.0,2025-02-26 16:21:00,2,1,2,0,0,0,0,1,1,3,1,3.0,397.0,2,2,0,,,,,0
FA0001936,BIRCHWOOD INTERMEDIATE SCHOOL,MELVILLE,11747.0,2024-02-28 16:58:00,9,5,4,1,1,0,0,1,0,0,0,0.0,-1.0,2,2,0,53.0,42.0,47.5,0.4,0
FA0001936,BIRCHWOOD INTERMEDIATE SCHOOL,MELVILLE,11747.0,2025-01-27 14:51:00,4,2,4,1,1,0,0,1,1,9,5,9.0,333.0,1,0,0,,,,,0
